id,query,tool_call
Q-00955,Ana Valdivia just reported comms sensor glitches in Colibrí — schedule urgent repair to avoid signal loss.,"schedule_maintenance(module='colibri',task='sensor_repair',priority='urgent')"
Q-00956,Jaguar power grid showing 98.2% consumption and climbing rapidly — how should we respond to this situation?,"send_alert(module='jaguar',severity='critical',reason='power_fluctuation')"
Q-00957,Oxygen concentration in Quetzal just dropped to 10.8% — Kai Nakamura reports dizziness. What emergency steps should we initiate?,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Q-00959,Radiation sensors in Tucán are reading 11.3 mSv/hr—what emergency response should we initiate?,"send_alert(module='tucan',severity='critical',reason='radiation_spike')"
Q-00960,Can you pull up the overview of MASA's operational structure and current mission objectives?,no_action
Q-00961,"I need to log an alert — Quetzal's CO2 sensors are reading 2.1% and climbing, crew reporting headaches over the last 20 minutes.","send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Q-00962,Kai just reported radiation sensors in Vicuña are reading 4.3 mSv/hr and climbing—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00963,Can you give me the current activity status for the crew in Tucán module?,"get_crew_status(module='tucan',info='current_activity')"
Q-00964,Generate the planned reentry trajectory for Kuntur Station from its current 408 km LEO orbit.,"calculate_trajectory(maneuver='reentry',urgency='planned')"
Q-00965,Pressure in Jaguar is reading 88.7 kPa and declining—what emergency procedure should we initiate? Engineer Kozlov just reported the anomaly.,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-00966,Ana Valdivia just reported oxygen concentration in Colibrí is down to 12.4% — do we escalate this immediately?,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Q-00968,"We need an immediate reentry trajectory calculation—current altitude is 408 km, and we're preparing for descent.","calculate_trajectory(maneuver='reentry',urgency='immediate')"
Q-00969,"I need to log an alert — Vicuña's hull stress sensors are reading 88.0%, possible micrometeorite impact reported by Commander Reyes.","send_alert(module='vicuna',severity='high',reason='structural_damage')"
Q-00970,Jaguar oxygen concentration has dropped to 14.3% over the past 30 minutes—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-00971,Can we get a quick health status update for the crew currently working in the Quetzal module?,"get_crew_status(module='quetzal',info='health')"
Q-00972,Can you pull up the training module for handling a decompression event in Jaguar? Kozlov mentioned needing a refresher before the next drill.,no_action
Q-00973,Radiation sensors in Colibrí just spiked to 6.8 mSv/hr—Commander Reyes wants this flagged immediately. What emergency steps do we initiate?,"send_alert(module='colibri',severity='critical',reason='radiation_spike')"
Q-00974,Oxygen concentration in Quetzal just dropped to 11.6% — Kai Nakamura reports dizziness. How should we respond to this?,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Q-00975,We’ve got a rapid temperature rise in Quetzal—2.4 degrees per minute and climbing. Kai just reported it—what emergency steps do we take?,"send_alert(module='quetzal',severity='critical',reason='abnormal_temperature')"
Q-00976,Oxygen concentration in Vicuña just dropped to 10.3% and still falling—Commander Reyes reports crew is feeling lightheaded. What emergency procedure do we initiate?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-00977,Jaguar power grid showing 97.3% consumption and climbing rapidly — Kozlov reports stress alarms. What emergency procedure covers this scenario?,"activate_protocol(protocol_id='MASA-SEC-006',scope='station_wide')"
Q-00978,We need an immediate trajectory calculation for station-keeping—altitude is dropping and we're at 408 km. What's the burn solution?,"calculate_trajectory(maneuver='station_keeping',urgency='immediate')"
Q-00979,"We’ve got a voltage fluctuation on Jaguar’s power bus, currently reading 135.9 V. What emergency procedure should we initiate for this?","activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00980,We’ve got a rapid pressure drop in Quetzal—just hit 79.0 kPa and still falling. Commander Reyes reports possible hull breach. What emergency procedure do we initiate?,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00981,"All crew, this is Kuntur. We have an urgent update—immediate action required.","send_message(recipient='all_crew',priority='high')"
Q-00983,Oxygen concentration in Vicuña just dropped to 11.2% and still falling—Commander Reyes reports crew feeling lightheaded. What’s the emergency response for this?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-00984,Cóndor hull stress sensors just hit 92.1% and climbing — Commander Reyes reports a possible micrometeorite impact. What emergency steps do we take for this scenario?,"send_alert(module='condor',severity='high',reason='structural_damage')"
Q-00985,Pull the 24-hour temperature log from Tucán for the morning report.,"get_telemetry(module='tucan',metric='temperature',timeframe_hours=24)"
Q-00986,We need emergency fuel reserves sent to Kuntur Station immediately—resupply is critical.,"request_supply(category='fuel',urgency='emergency')"
Q-00987,Oxygen readings in Colibrí have dropped to 14.8% and are still falling. What’s the emergency procedure for this scenario?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-00988,"Radiation sensors in Quetzal are reading 3.2 mSv/hr, and Fatima Al-Hassan just reported that solar activity is increasing. What emergency procedure should we initiate?","activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00989,Check life support status in Cóndor—Commander Reyes just flagged an anomaly during systems check.,"get_module_status(module='condor',system='life_support')"
Q-00990,Can you give me the overview of MASA's current mission and station layout for the new trainee briefing?,no_action
Q-00991,Can you confirm the primary function of the Quetzal module for the incoming crew briefing before the next shift change?,no_action
Q-00992,Pull the last 24 hours of pressure readings from Tucán for the shift review.,"get_telemetry(module='tucan',metric='pressure',timeframe_hours=24)"
Q-00993,Kai just reported a rapid temperature rise in Colibrí—sensors are showing 2.6 degrees per minute. What emergency procedure should we initiate for this?,"send_alert(module='colibri',severity='critical',reason='abnormal_temperature')"
Q-00994,Water recycling in Vicuña has dropped to 21.3% and it's been degrading for hours—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-00995,Tucán hull stress sensors are reading 89.1%—should we log an alert for possible micrometeorite impact?,"send_alert(module='tucan',severity='high',reason='structural_damage')"
Q-00996,Airlock equalization rate in Colibrí is climbing at 1.5 kPa per minute—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00997,Cóndor oxygen concentration just dropped to 11.0%—Commander Reyes reports crew feeling lightheaded. What emergency procedure should we initiate immediately?,"send_alert(module='condor',severity='critical',reason='oxygen_leak')"
Q-00998,Ana Valdivia just reported oxygen concentration in Colibrí is reading 12.6% on her console—how should we handle this?,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Q-00999,Can you confirm the primary function of the Quetzal module for the incoming crew briefing before the next shift change?,no_action
Q-01000,Check the structural integrity status for Tucán module—need current readings before the next shift change.,"get_module_status(module='tucan',system='structural')"
Q-01001,Notify Specialist Nakamura that the sample analysis from Quetzal is ready for review when he has a moment.,"send_message(recipient='specialist_1',priority='low')"
Q-01002,Vicuña power bus voltage just hit 97.6 V and is fluctuating—what emergency response should we initiate?,"send_alert(module='vicuna',severity='medium',reason='power_fluctuation')"
Q-01003,Oxygen concentration in Colibrí has dropped to 10.3% — Kai Nakamura reports dizziness. What emergency procedure should we initiate?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-01005,I need to log an alert — pressure sensors in Colibrí are showing 87.1 kPa and still declining. What emergency steps should we take for this situation?,"send_alert(module='colibri',severity='high',reason='pressure_drop')"
Q-01006,Tucán hull stress sensors are reading 88.7%—what emergency procedure do we follow?,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01007,Give me the radiation levels in Jaguar for the past hour.,"get_telemetry(module='jaguar',metric='radiation',timeframe_hours=1)"
Q-01008,Water recycling in Vicuña has dropped to 21.8% and been degrading for hours — what emergency steps should we take for this?,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-01009,Cóndor CO2 concentration has hit 2.2% and is climbing—crew reporting headaches. What emergency steps do we take for this scenario?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-01012,We’ve got a pressure anomaly in Vicuña—readings just hit 87.1 kPa and still dropping. What emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-01013,Tucán hull stress sensors are reading 90.5%—Engineer Kozlov reports possible micrometeorite impact. What emergency steps should we take?,"send_alert(module='tucan',severity='high',reason='structural_damage')"
Q-01014,Tucán pressure sensors just hit 78.4 kPa and are still falling — what emergency procedure do we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-01015,Can we get a trajectory calculation for the planned debris avoidance maneuver at our current altitude?,"calculate_trajectory(maneuver='debris_avoidance',urgency='planned')"
Q-01016,We’ve got a rapid pressure drop in Vicuña—just hit 73.1 kPa and still falling. Commander Reyes reported possible hull breach. What emergency steps do we take here?,"send_alert(module='vicuna',severity='critical',reason='pressure_drop')"
Q-01017,Cóndor radiation sensors are showing 2.3 mSv/hr and climbing—Commander Reyes reports solar activity may be increasing. What emergency procedure covers this?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01018,Check the current thermal status in Tucán—Mendoza mentioned the medical bay feels warmer than usual during her last report.,"get_module_status(module='tucan',system='thermal')"
Q-01019,Check Colibrí's thermal system status—Valdivia reported higher than expected readings during her last comms sweep.,"get_module_status(module='colibri',system='thermal')"
Q-01021,"What’s the current schedule for the crew in Vicuña, and are they on track with today’s cargo operations?","get_crew_status(module='vicuna',info='schedule')"
Q-01022,"Radiation sensors in Quetzal are reading 2.6 mSv/hr, and solar activity seems to be increasing—should we flag this for command?","send_alert(module='quetzal',severity='high',reason='radiation_spike')"
Q-01023,Check the current health status for all crew members in Cóndor—Commander Reyes is reporting fatigue after the last maneuver.,"get_crew_status(module='condor',info='health')"
Q-01024,Jaguar hull stress sensors are reading 90.1%—Kai reported a potential micrometeorite impact. What emergency procedure should we initiate?,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01025,"We’ve got a rapid pressure drop in Quetzal, currently reading 75.0 kPa—what emergency procedure should we initiate for this?","send_alert(module='quetzal',severity='critical',reason='pressure_drop')"
Q-01027,Can you pull up the mission history for Kuntur Station's Cóndor-7 mission before the next shift change?,no_action
Q-01029,I need to log an alert — Quetzal pressure sensors are reading 89.5 kPa and dropping. What emergency steps should we initiate for this situation?,"send_alert(module='quetzal',severity='high',reason='pressure_drop')"
Q-01032,Tucán oxygen concentration has dropped to 15.6% and is still falling — should we log an alert on this?,"send_alert(module='tucan',severity='high',reason='oxygen_leak')"
Q-01033,"Generate the docking trajectory for Kuntur Station's upcoming maneuver with the cargo vessel, planned for the next orbital pass.","calculate_trajectory(maneuver='docking',urgency='planned')"
Q-01034,"We’ve got a CO₂ concentration of 1.9% in Quetzal, and the crew is reporting headaches. What emergency procedure should we initiate for this scenario?","activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-01035,Radiation sensors in Quetzal are reading 2.7 mSv/hr and rising—what emergency steps should we take for this scenario?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01036,Vicuña hull stress sensors are reading 91.7% and climbing—Engineer Kozlov reports possible micrometeorite impact. Should we escalate this to command immediately?,"send_alert(module='vicuna',severity='high',reason='structural_damage')"
Q-01038,Cóndor pressure just dropped to 70.4 kPa and is still falling—what emergency response should we initiate? Commander Reyes is reporting possible hull breach signs.,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-01039,Where are Nakamura and Al-Hassan right now—still in Quetzal or have they moved since the last update?,"get_crew_status(module='quetzal',info='location')"
Q-01041,Cóndor pressure sensors just dropped to 74.1 kPa—Reyes is reporting a possible hull breach. How should we handle this?,"send_alert(module='condor',severity='critical',reason='pressure_drop')"
Q-01042,"Ana, could you send a message to Pilot Valdivia with the updated docking sequence for the next supply run?","send_message(recipient='pilot',priority='low')"
Q-01043,Bump up the heating in Jaguar—Kozlov reports temps are trending low.,"control_system(module='jaguar',system='heating',action='increase')"
Q-01044,Cóndor's oxygen concentration has dropped to 15.3% and is still falling—Commander Reyes just reported it. What emergency steps should we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01046,Oxygen concentration in Colibrí has dropped to 12.0% — Kai Nakamura reports dizziness. What emergency procedure should we initiate?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-01047,Airlock equalization rate in Colibrí is climbing at 1.4 kPa per minute—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-01049,Jaguar oxygen concentration has dropped to 10.2% — Engineer Kozlov reports crew symptoms. What emergency procedure do we initiate immediately?,"send_alert(module='jaguar',severity='critical',reason='oxygen_leak')"
Q-01050,We need emergency resupply for scientific equipment—Nakamura just confirmed critical shortages in Quetzal. Escalate this immediately.,"request_supply(category='scientific',urgency='emergency')"
Q-01051,Tucán power bus showing 134.0 V voltage fluctuation — should we log an alert?,"send_alert(module='tucan',severity='medium',reason='power_fluctuation')"
Q-01052,Kai just reported a rapid temperature rise in Colibrí—sensors are showing 3.9 degrees per minute. What emergency procedure should we initiate for this?,"send_alert(module='colibri',severity='critical',reason='abnormal_temperature')"
Q-01053,Notify Specialist Nakamura immediately—Quetzal's latest experiment data needs urgent review before the next downlink window.,"send_message(recipient='specialist_1',priority='urgent')"
Q-01054,Hull stress sensors in Quetzal are showing 89.3% — Kai Nakamura just reported possible micrometeorite impact. What emergency steps should we initiate?,"send_alert(module='quetzal',severity='high',reason='structural_damage')"
Q-01056,Jaguar hull stress sensors just spiked to 89.4% — Kai Nakamura reports possible micrometeorite impact. What emergency steps do we initiate?,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01058,Ana Valdivia just reported radiation sensors in Quetzal are reading 3.7 mSv/hr and climbing. What emergency procedure should we initiate for this?,"send_alert(module='quetzal',severity='high',reason='radiation_spike')"
Q-01060,Pull the pressure readings from Quetzal for the last 12 hours and display the trend.,"get_telemetry(module='quetzal',metric='pressure',timeframe_hours=12)"
Q-01061,Generate the planned reentry trajectory for Kuntur Station from its current 408 km LEO orbit.,"calculate_trajectory(maneuver='reentry',urgency='planned')"
Q-01062,Can we get the current status of the communications system in Vicuña before the next shift change?,"get_module_status(module='vicuna',system='communications')"
Q-01063,Radiation sensors in Jaguar are showing 2.7 mSv/hr and rising—what emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01064,Cóndor oxygen concentration just dropped to 14.4% and is still falling—what emergency response should we initiate? Commander Reyes reports the crew is aware and standing by.,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01065,Tucán airlock equalization rate is showing 0.7 kPa per minute and still increasing—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-01066,We’re seeing a voltage fluctuation on the Colibrí power bus—current reading is 130.2 V. What emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-01068,Radiation sensors in Colibrí just spiked to 6.8 mSv/hr—Commander Reyes reports it’s still climbing. What emergency procedure do we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01072,Lower the heating level in Quetzal—Nakamura just reported temperatures climbing above 30°C.,"control_system(module='quetzal',system='heating',action='decrease')"
Q-01073,Cóndor radiation sensors are showing 3.5 mSv/hr and climbing—flag this immediately. Commander Reyes has noticed increasing solar activity.,"send_alert(module='condor',severity='high',reason='radiation_spike')"
Q-01074,Kai just reported Quetzal’s temp is climbing at 4.9 degrees per minute—how should we respond to this rapid rise?,"send_alert(module='quetzal',severity='critical',reason='abnormal_temperature')"
Q-01075,Check Jaguar's power status—Kozlov mentioned fluctuations during his last systems check.,"get_module_status(module='jaguar',system='power')"
Q-01076,We've got a fuel leak in Vicuña—pressurization is dropping fast and Kozlov can't isolate it. Request emergency resupply immediately.,"request_supply(category='fuel',urgency='emergency')"
Q-01077,I need to log an alert — Colibrí's temperature is rising at 4.6 degrees per minute. What emergency procedure should we follow for this?,"send_alert(module='colibri',severity='critical',reason='abnormal_temperature')"
Q-01078,Oxygen readings in Vicuña just dropped to 15.5% and still falling—what’s the next emergency procedure? Reyes is monitoring the trend now.,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01079,Radiation sensors in Jaguar are showing 8.3 mSv/hr and still rising—what emergency measures do we need to take for this situation?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01080,"We need an immediate trajectory calculation for an orbit adjustment—station altitude is 408 km LEO, and we've got to make this correction before the next shift.","calculate_trajectory(maneuver='orbit_adjustment',urgency='immediate')"
Q-01081,Medical Officer Mendoza reports urgent need for emergency medical supplies—initiate immediate restock from Vicuña.,"request_supply(category='medical',urgency='emergency')"
Q-01082,Can you pull up the training records for the Cóndor-7 crew's emergency response drills from last month?,no_action
Q-01083,Schedule routine maintenance for sensor repair in Colibrí during the next available window.,"schedule_maintenance(module='colibri',task='sensor_repair',priority='routine')"
Q-01084,Medical supplies in Vicuña are running critically low—Mendoza just confirmed we need an expedited restock. What's the fastest way to get them resupplied?,"request_supply(category='medical',urgency='expedited')"
Q-01085,Radiation sensors in Quetzal are reading 10.1 mSv/hr and still climbing—what emergency procedure should we initiate for this?,"send_alert(module='quetzal',severity='critical',reason='radiation_spike')"
Q-01086,Oxygen readings in Vicuña just dropped to 14.2% and are still falling—what emergency steps should we take for this scenario?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01087,"Oxygen concentration in Vicuña has dropped to 12.8%, and Commander Reyes reports crew discomfort. What emergency procedure should we initiate for this situation?","send_alert(module='vicuna',severity='critical',reason='oxygen_leak')"
Q-01088,Pull the last 24 hours of power telemetry from Colibrí for analysis.,"get_telemetry(module='colibri',metric='power',timeframe_hours=24)"
Q-01089,Kai just reported Jaguar's temperature is rising at 4.7 degrees per minute—what emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-01090,Tucán oxygen concentration has dropped to 14.8% over the past 30 minutes—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01091,"What’s the current primary function of the Quetzal module, and which crew members are assigned to it this shift?",no_action
Q-01092,Tucán oxygen concentration has dropped to 12.7% — Engineer Kozlov reports crew is experiencing dizziness. What emergency steps do we initiate?,"send_alert(module='tucan',severity='critical',reason='oxygen_leak')"
Q-01093,Notify Commander Reyes immediately—this is urgent.,"send_message(recipient='commander',priority='urgent')"
Q-01094,Tucán oxygen concentration has dropped to 15.8% and is still falling — what emergency procedure do we initiate?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01095,"Radiation sensors in Quetzal are reading 2.6 mSv/hr, and solar activity reports suggest it might climb. What emergency procedure should we initiate for this scenario?","activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01096,Jaguar power grid showing 97.5% consumption and climbing rapidly — how should we handle this?,"send_alert(module='jaguar',severity='critical',reason='power_fluctuation')"
Q-01099,Check the current power status in Vicuña—Kozlov mentioned fluctuations during the last cargo transfer.,"get_module_status(module='vicuna',system='power')"
Q-01100,Tucán CO2 sensors hit 2.5% and climbing—crew reporting headaches since 0400. What emergency procedure do we initiate?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-01102,Check the medical supply inventory levels in Vicuña and submit a restock request for routine resupply before the next cargo launch.,"request_supply(category='medical',urgency='routine')"
Q-01103,Give me the radiation levels in Cóndor for the past six hours—Reyes wants it for the shift report.,"get_telemetry(module='condor',metric='radiation',timeframe_hours=6)"
Q-01104,Tucán pressure sensors just hit 78.4 kPa and are still falling — Medical Officer Mendoza says it feels like a hull breach. What emergency procedure do we initiate?,"send_alert(module='tucan',severity='critical',reason='pressure_drop')"
Q-01105,We’re seeing a voltage fluctuation on Quetzal’s power bus—current reading is 99.5 V. Should we flag this for engineering review?,"send_alert(module='quetzal',severity='medium',reason='power_fluctuation')"
Q-01106,We’ve got a pressure anomaly in Vicuña—readings just hit 86.7 kPa and still dropping. What emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-01107,Kai just reported Vicuña radiation sensors at 4.9 mSv/hr and rising—how should we respond?,"send_alert(module='vicuna',severity='high',reason='radiation_spike')"
Q-01108,Cóndor airlock equalization rate is reading 1.2 kPa per minute—what emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-01109,Tucán temperature sensors are showing a rapid rise at 2.6 degrees per minute and still climbing—what emergency procedure should we initiate for this scenario?,"send_alert(module='tucan',severity='critical',reason='abnormal_temperature')"
Q-01111,What is the current schedule for the crew in the Cóndor module?,"get_crew_status(module='condor',info='schedule')"
Q-01113,Pull the last six hours of power telemetry from Vicuña for review.,"get_telemetry(module='vicuna',metric='power',timeframe_hours=6)"
Q-01114,"All crew, emergency notification—immediate action required. Acknowledge receipt and prepare for further instructions.","send_message(recipient='all_crew',priority='urgent')"
Q-01115,Cut the heating in Tucán — Mendoza reports the medical bay is getting too warm and we need to bring it back to nominal.,"control_system(module='tucan',system='heating',action='deactivate')"
Q-01116,Radiation sensors in Quetzal are reading 2.0 mSv/hr and rising—should we escalate this to command?,"send_alert(module='quetzal',severity='medium',reason='radiation_spike')"
Q-01117,Cóndor module temperature is rising at 4.5 degrees per minute—what emergency procedure should we initiate?,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-01118,"Radiation sensors in Quetzal are reading 1.9 mSv/hr, and solar activity seems to be increasing—what emergency steps should we take for this situation?","activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01119,Check the medical supply inventory in Vicuña and flag any routine items that need restocking before the next resupply window.,"request_supply(category='medical',urgency='routine')"
Q-01120,"We've got a voltage fluctuation on Jaguar's power bus, currently reading 100.0 V. What emergency procedure should we initiate for this scenario?","activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-01121,Activate the heating system in Vicuña to maintain temperature within nominal range.,"control_system(module='vicuna',system='heating',action='activate')"
Q-01123,Cóndor's power bus is showing voltage fluctuations with a reading of 96.1 V—should we escalate this to command for further action?,"send_alert(module='condor',severity='medium',reason='power_fluctuation')"
Q-01125,Kai Nakamura just reported CO2 scrubber efficiency in Jaguar is down to 34.9% — what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-014',scope='station_wide')"
Q-01126,Cóndor radiation sensors are showing 3.2 mSv/hr and climbing — Commander Reyes reports solar activity may be increasing. What emergency steps do we initiate?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01129,We’ve got a pressure anomaly in Colibrí—readings are at 87.3 kPa and still declining. What emergency steps should we take for this situation?,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-01130,Vicuña power bus voltage just hit 100.8 V—should we log an alert on this fluctuation?,"send_alert(module='vicuna',severity='medium',reason='power_fluctuation')"
Q-01132,Check the inventory for spare parts in Vicuña and submit a routine resupply request if needed.,"request_supply(category='spare_parts',urgency='routine')"
Q-01134,Activate the ventilation system in Tucán crew quarters immediately—Mendoza reports elevated CO₂ levels during crew sleep cycle.,"control_system(module='tucan',system='ventilation',action='activate')"
Q-01135,Pull the temperature readings from Jaguar for the last six hours to verify system stability.,"get_telemetry(module='jaguar',metric='temperature',timeframe_hours=6)"
Q-01136,Tucán CO2 sensors hit 2.0% — crew reporting headaches. What emergency response do we need here?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-01137,I need to log an alert — Quetzal's temperature is rising at 4.6 degrees per minute. What emergency procedure should we follow for this scenario?,"send_alert(module='quetzal',severity='critical',reason='abnormal_temperature')"
Q-01139,I need to log an alert — Vicuña pressure sensors just hit 82.6 kPa and it’s still dropping. What emergency steps do we take?,"send_alert(module='vicuna',severity='critical',reason='pressure_drop')"
Q-01140,Can you give me a quick overview of Kuntur Station's current mission and module layout before the next shift change?,no_action
Q-01142,Cóndor power bus voltage just hit 98.4 V and is fluctuating—what emergency response should we initiate?,"send_alert(module='condor',severity='medium',reason='power_fluctuation')"
Q-01143,Radiation sensors in Colibrí are reading 3.7 mSv/hr and rising—what emergency steps should we take station-wide?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01144,Tucán radiation sensors are showing 3.9 mSv/hr and rising—Commander Reyes wants this logged as an alert immediately. Solar activity reports suggest this could worsen.,"send_alert(module='tucan',severity='high',reason='radiation_spike')"
Q-01145,Cóndor's temperature is rising at 4.6 degrees per minute—what emergency procedure covers this kind of thermal event?,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-01146,Cóndor temperature rate sensors are showing 2.4 degrees per minute rise and still climbing—Commander Reyes just reported possible smoke smell. How should we proceed?,"send_alert(module='condor',severity='critical',reason='abnormal_temperature')"
Q-01147,I need to log an alert — Vicuña pressure sensors just hit 85.6 kPa and they’re still trending down.,"send_alert(module='vicuna',severity='high',reason='pressure_drop')"
Q-01148,Cóndor's oxygen concentration has dropped to 13.6%—what emergency procedure should we initiate? Commander Reyes reports the crew is feeling lightheaded.,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-01149,Schedule a routine hull inspection for the Jaguar module during the next maintenance window.,"schedule_maintenance(module='jaguar',task='hull_inspection',priority='routine')"
Q-01150,"Can you pass a message to Kozlov about the scheduled maintenance on Jaguar's water recycling system later today? No rush, just a heads-up.","send_message(recipient='engineer',priority='low')"
Q-01151,Can we get the current power status for Cóndor module?,"get_module_status(module='condor',system='power')"
Q-01152,We’ve got a voltage fluctuation on Quetzal’s power bus—Commander Reyes just reported it hitting 138.5 V. Should we flag this and notify the crew?,"send_alert(module='quetzal',severity='medium',reason='power_fluctuation')"
Q-01153,Notify Ana Valdivia immediately—there's a critical trajectory adjustment needed within the next 30 minutes.,"send_message(recipient='pilot',priority='high')"
Q-01155,Tucán oxygen concentration has dropped to 10.3% — what emergency procedure covers this kind of O2 issue?,"send_alert(module='tucan',severity='critical',reason='oxygen_leak')"
Q-01156,We've lost all contact with Kuntur Station—last comms blackout from Colibrí started 81 minutes ago. What emergency procedure covers this kind of extended ground contact loss?,"activate_protocol(protocol_id='MASA-SEC-007',scope='station_wide')"
Q-01157,"Can you pull up the training records for the current crew, specifically their emergency response drills from the last quarter?",no_action
Q-01158,Hull stress sensors in Colibrí are showing 89.8% and rising — what emergency procedure do we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01159,Cóndor's temperature is rising at 2.3 degrees per minute—should we flag this immediately?,"send_alert(module='condor',severity='critical',reason='abnormal_temperature')"
Q-01160,I need to log an alert — oxygen sensors in Jaguar just hit 14.4% and are still dropping. What emergency steps should we initiate for this situation?,"send_alert(module='jaguar',severity='high',reason='oxygen_leak')"
Q-01161,Cóndor radiation sensors just spiked to 8.8 mSv/hr — Commander Reyes reports it’s still climbing. What emergency procedure do we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01164,Jaguar hull stress sensors hit 92.0%—Commander Reyes confirms possible micrometeorite impact. How should we handle this?,"send_alert(module='jaguar',severity='high',reason='structural_damage')"
Q-01166,I need to log an alert — pressure sensors in Jaguar just hit 84.5 kPa and it’s still dropping. What emergency steps do we take?,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')"
Q-01167,Radiation sensors in Tucán are reading 3.2 mSv/hr and climbing; what emergency procedure do we initiate?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01169,Can you give me a quick overview of Kuntur Station's current mission and module layout before the next shift change?,no_action
